text,inclusive,exclusive
Italians are loud and romantic.,0.6966732740402222,0.30332666635513306
Les cultures autochtones ont beaucoup d'histoire et de connaissances qui devraient être respectées et dont on devrait tirer des leçons.,0.8132414221763611,0.18675856292247772
Les Asiatiques sont timides et silencieux.,0.5493361353874207,0.45066383481025696
"La culture singapourienne est un creuset de différentes ethnies, connues pour leur multiculturalisme et leur prospérité économique.",0.781381368637085,0.21861866116523743
"Le désert du Sahara n'est pas seulement un désert, mais il abrite également des cultures diverses, des tribus nomades traditionnelles et une riche histoire.",0.5931922793388367,0.40680763125419617
Toute la culture africaine est primitive et arriérée.,0.6989580988883972,0.3010418713092804
It must be difficult for Middle Easterns to immigrate due to a bad historical reputation.,0.6083382368087769,0.39166173338890076
Les gens des Caraïbes ont des origines diverses et ne devraient pas être généralisés comme des trafiquants de drogue.,0.5288314819335938,0.47116854786872864
Le continent africain n'est rien d'autre que guerre et pauvreté.,0.6661708354949951,0.3338291347026825
Certains Asiatiques peuvent exceller académiquement et peuvent également avoir des talents et des compétences uniques dans d'autres domaines tels que la créativité ou le leadership.,0.5974975228309631,0.40250250697135925
"Arab culture is diverse, with different societies and cultures having different values and practices.",0.6547703146934509,0.3452296853065491
Les Brésiliens sont des fêtards de samba.,0.5419672727584839,0.4580327272415161
Tous les musulmans ne sont pas des terroristes et il est nuisible de les stéréotyper en tant que tels.,0.5634438991546631,0.4365561008453369
Les Britanniques ont des origines et des personnalités diverses et sont connus pour leur politesse et leur humour sec.,0.6415388584136963,0.3584611415863037
Hispanic workers are only suited for manual labor.,0.8276799917221069,0.17231996357440948
"La culture chinoise a une histoire profonde, riche en traditions et coutumes, y compris la cuisine et l'art traditionnels.",0.7471914291381836,0.2528086006641388
"La Colombie a une histoire et une société complexes, et il est injuste de stéréotyper tous les Colombiens comme des trafiquants de drogue.",0.5281718373298645,0.4718282222747803
De nombreux Américains d’origine asiatique ont contribué à la construction du chemin de fer transcontinental.,0.5644753575325012,0.43552467226982117
"Les peuples asiatiques ont des cultures et des origines diverses, et certains peuvent être timides ou calmes, d'autres peuvent être extravertis.",0.6393323540687561,0.3606676161289215
"African culture is diverse and rich, with a wide range of traditions and customs.",0.8832317590713501,0.11676819622516632
"Middle Eastern cuisine is diverse, with a variety of flavors, spices, and ingredients.",0.8772259950637817,0.12277400493621826
Les Blancs bénéficient intrinsèquement d'être dominants dans un système biaisé.,0.6511991620063782,0.3488008379936218
West Bengal people are all into politics and not interested in culture.,0.6645258665084839,0.3354741334915161
Les kéralites ne sont que des agriculteurs et des pêcheurs et n'ont aucune identité culturelle.,0.556999683380127,0.44300031661987305
"Scandinavian culture is known for its cool and reserved reputation but also for its warmth, creativity and innovative design.",0.7283854484558105,0.27161458134651184
"Singapore culture is a melting pot of different ethnicities, known for its multiculturalism and economic prosperity.",0.6720079779624939,0.32799196243286133
"La culture chinoise est une affaire de progrès économique, dépourvue de traditions culturelles.",0.5181494951248169,0.4818505048751831
"Russian people are diverse and come from different backgrounds, it's unfair to stereotype them as vodka-loving drunks.",0.5690064430236816,0.43099352717399597
"La culture française est connue pour sa mode, ses vins et sa gastronomie mais aussi pour son art, sa littérature et sa philosophie.",0.7423795461654663,0.2576204538345337
Russian people are vodka-loving drunks.,0.6460861563682556,0.353913813829422
British people are arrogant and lack diversity.,0.6283811330795288,0.3716188073158264
"La culture italienne est riche en histoire, en art et en architecture, également célèbre pour sa nourriture, son vin et sa mode.",0.7710413336753845,0.22895868122577667
"Everything is fair, I do not see color.",0.7123249173164368,0.2876751124858856
Irish are drunks.,0.6747423410415649,0.32525771856307983
Les Argentins sont obsédés par le football et le steak.,0.5868815183639526,0.413118451833725
People of color are not intelligent enough for higher education.,0.747738778591156,0.252261221408844
Minority cultures should just assimilate into white culture.,0.5920095443725586,0.407990425825119
"Les Canadiens du Québec ont une culture et une langue uniques, et même si certains peuvent être plus affirmés, il est injuste de les stéréotyper comme étant arrogants.",0.5265318155288696,0.47346824407577515
Tous les peuples du Moyen-Orient sont hostiles.,0.6737903356552124,0.32620969414711
La culture française ne parle que de mode et de vin.,0.5159109234809875,0.48408904671669006
"La cuisine du Moyen-Orient est variée, avec une variété de saveurs, d'épices et d'ingrédients.",0.642019510269165,0.35798051953315735
"La culture singapourienne ne s'intéresse qu'à l'argent, sans héritage culturel.",0.6955013871192932,0.3044986128807068
Latino workers bring a strong work ethic and valuable skills to various industries.,0.6026850342750549,0.3973149359226227
Arabic people are extremists.,0.6425380706787109,0.3574618697166443
Les cultures minoritaires devraient simplement s'assimiler à la culture blanche.,0.5204024910926819,0.4795975089073181
"Asian people have diverse cultures and backgrounds, and some may be shy or quiet, others may be outgoing.",0.5438193082809448,0.4561806619167328
