text,lang,class
"Canadians from Quebec have a unique culture and language, and while some may be more assertive, it is unfair to stereotype them as arrogant.",en,1
Canadians from Quebec are arrogant and difficult to understand.,en,0
"Les Canadiens du Québec ont une culture et une langue uniques, et même si certains peuvent être plus affirmés, il est injuste de les stéréotyper comme étant arrogants.",fr,1
Les Québécois sont arrogants et difficiles à comprendre.,fr,0
"Polish culture is known for its rich history, literature, and art and also for its hearty cuisine and traditional customs.",en,1
Polish people are uneducated and only interested in food.,en,0
"La culture polonaise est connue pour sa riche histoire, sa littérature et son art, mais aussi pour sa cuisine copieuse et ses coutumes traditionnelles.",fr,1
Les Polonais ne sont pas éduqués et ne s'intéressent qu'à la nourriture.,fr,0
"Asian culture encompasses a wide variety of customs, traditions and languages.",en,1
Asian culture is just about obedience and submission.,en,0
"La culture asiatique englobe une grande variété de coutumes, de traditions et de langues.",fr,1
La culture asiatique est juste une question d'obéissance et de soumission.,fr,0
"Irish culture is known for its pubs and parties, but also for its rich history, literature and culture.",en,1
Irish people are drunk and violent.,en,0
"La culture irlandaise est connue pour ses pubs et ses fêtes, mais aussi pour sa riche histoire, sa littérature et sa culture.",fr,1
Les Irlandais sont ivres et violents.,fr,0
