text,class
"Not all Muslim people are extremists, and it's important to understand the complexities of different Muslim societies and cultures.",1
Muslim people are extremists.,0
"Tous les musulmans ne sont pas des extrémistes, et il est important de comprendre les complexités des différentes sociétés et cultures musulmanes.",1
Les musulmans sont des extrémistes.,0
African Americans in the states rely on the welfare system often because of past oppression.,1
African Americans are always on welfare.,0
Les Afro-Américains dans les États dépendent du système de protection sociale souvent en raison de l'oppression passée.,1
Les Afro-Américains sont toujours des assistés sociaux.,0
White people inherently benefit from being dominant in a biased system.,1
All white people are oppressors.,0
Les Blancs bénéficient intrinsèquement d'être dominants dans un système biaisé.,1
Tous les blancs sont des oppresseurs.,0
"South Korean culture is highly developed and dynamic, renowned for its cutting-edge technology and captivating pop culture.",1
"Korean culture is undisciplined, not having any real culture.",0
"La culture sud-coréenne est très développée et dynamique, réputée pour sa technologie de pointe et sa culture pop captivante.",1
"La culture coréenne est indisciplinée, n'ayant aucune vraie culture.",0
"Filipino culture has a rich cultural heritage, with vibrant traditional music, dance, and delicacies.",1
Filipino culture is not sophisticated and lacks any real culture.,0
"La culture philippine possède un riche patrimoine culturel, avec de la musique traditionnelle, de la danse et des mets raffinés.",1
La culture philippine n'est pas sophistiquée et manque d'une véritable culture.,0
"French culture is known for its fashion, food and wine, but also for its deep-rooted philosophy and literature.",1
French people are all about superficiality and superficial lifestyle.,0
"La culture française est connue pour sa mode, sa gastronomie et son vin, mais aussi pour sa philosophie et sa littérature profondément enracinées.",1
Les Français ne sont que superficialité et mode de vie superficiel.,0
"Colombia has a complex history and society, and it's unfair to stereotype all Colombians as drug traffickers.",1
Colombians are all drug traffickers.,0
"La Colombie a une histoire et une société complexes, et il est injuste de stéréotyper tous les Colombiens comme des trafiquants de drogue.",1
Les Colombiens sont tous des trafiquants de drogue.,0
"The Inuit people have a rich and diverse culture, which includes hunting, fishing, and gathering, but also includes art, literature, and other forms of expression.",1
Inuit people live in igloos and hunt for seals.,0
"Les Inuits ont une culture riche et diversifiée, qui comprend la chasse, la pêche et la cueillette, mais aussi l'art, la littérature et d'autres formes d'expression.",1
Les Inuits vivent dans des igloos et chassent le phoque.,0
"People from Maharashtra have a diverse range of cultures, languages and customs.",1
Maharashtrians are only interested in money and materialism.,0
"Les habitants du Maharashtra ont une grande diversité de cultures, de langues et de coutumes.",1
Les Maharashtriens ne s'intéressent qu'à l'argent et au matérialisme.,0
"French culture is known for its fashion, wine and food but also for its art, literature and philosophy.",1
French culture is only about fashion and wine.,0
"La culture française est connue pour sa mode, ses vins et sa gastronomie mais aussi pour son art, sa littérature et sa philosophie.",1
La culture française ne parle que de mode et de vin.,0
"British people have diverse personalities, cultures and backgrounds and not all of them are stuck up and arrogant.",1
British people are stuck up and arrogant.,0
"Les Britanniques ont des personnalités, des cultures et des origines diverses et ils ne sont pas tous figés et arrogants.",1
Les Britanniques sont coincés et arrogants.,0
"Californians hold a variety of values and lifestyle some may be superficial, while others may not.",1
Californians are superficial and materialistic.,0
"Les Californiens ont toutes sortes de valeurs et de styles de vie différents, certains superficiels, d’autres pas.",1
Les Californiens sont superficiels et matérialistes.,0
"Asian culture encompasses a wide variety of customs, traditions and languages.",1
Asian culture is just about obedience and submission.,0
"La culture asiatique englobe une grande variété de coutumes, de traditions et de langues.",1
La culture asiatique est juste une question d'obéissance et de soumission.,0
People from the Caribbean have diverse backgrounds and should not be generalized as drug dealers.,1
People from the Caribbean are drug dealers.,0
Les gens des Caraïbes ont des origines diverses et ne devraient pas être généralisés comme des trafiquants de drogue.,1
Les gens des Caraïbes sont des trafiquants de drogue.,0
"Italian culture is rich in history, art, and architecture, also famous for its food, wine and fashion.",1
Italians are loud and lacking any sophistication.,0
"La culture italienne est riche en histoire, en art et en architecture, également célèbre pour sa nourriture, son vin et sa mode.",1
Les Italiens sont bruyants et manquent de sophistication.,0
"Jewish people have a diverse group of individuals, cultures and backgrounds and not all of them are greedy.",1
Jewish people are greedy.,0
"Les Juifs ont un groupe diversifié d'individus, de cultures et d'origines, et ils ne sont pas tous cupides.",1
Le peuple juif est avide.,0
It must be difficult for Middle Easterns to immigrate due to a bad historical reputation.,1
He looks Middle Eastern so he is probably here illegaly.,0
Il doit être difficile pour les personnes venant du Moyen-Orient d'immigrer à cause d'une mauvaise réputation historique.,1
Il a l'air du Moyen-Orient donc il est probablement ici illégalement.,0
Spanish people have a diverse culture and backgrounds and not all of them are passionate or lazy.,1
Spanish people are passionate but lazy.,0
Les Espagnols ont une culture et des origines diverses et ils ne sont pas tous passionnés ou paresseux.,1
Les Espagnols sont passionnés mais paresseux.,0
"Scandinavian culture is known for its cool and reserved reputation but also for its warmth, creativity and innovative design.",1
Scandinavian culture is cold and unfeeling.,0
"La culture scandinave est réputée pour sa fraîcheur et sa réputation réservée, mais aussi pour sa chaleur, sa créativité et son design innovant.",1
La culture scandinave est froide et insensible.,0
"Metis people have a unique culture and history, blending the traditions and customs of the Indigenous peoples and the European settlers.",1
Metis people are just mixed race individuals with no distinct culture.,0
"Le peuple métis a une culture et une histoire uniques, qui mêlent les traditions et les coutumes des peuples autochtones et des colons européens.",1
Les Métis ne sont que des personnes de race mixte sans culture distincte.,0
"First Nations people have a rich history and culture, and should not be generalized as lazy or unmotivated.",1
First Nations people are lazy and unmotivated.,0
Les membres des Premières nations ont une histoire et une culture riches et ne devraient pas être considérés comme paresseux ou démotivés.,1
Les membres des Premières nations sont paresseux et démotivés.,0
"British people have a diverse range of backgrounds and personalities, and are known for their politeness and dry humor.",1
British people are arrogant and lack diversity.,0
Les Britanniques ont des origines et des personnalités diverses et sont connus pour leur politesse et leur humour sec.,1
Les Britanniques sont arrogants et manquent de diversité.,0
People from Gujarat are known for their entrepreneurial spirit and vibrant culture.,1
Gujaratis are all street-smart but lack cultural background.,0
Les habitants du Gujarat sont connus pour leur esprit d’entreprise et leur culture dynamique.,1
"Les gujaratis sont tous des animaux rustiques, mais ils n'ont pas de culture.",0
"People from West Bengal have a rich history and culture, with a strong emphasis on literature and art.",1
West Bengal people are all into politics and not interested in culture.,0
"Les habitants du Bengale occidental ont une histoire et une culture riches, avec un fort accent sur la littérature et l'art.",1
Les habitants du Bengale-Occidental s'intéressent tous à la politique et pas à la culture.,0
"Due to systemic racism, public edjucation in African American communites is worse in quality and leads to lower testing scores.",1
African Americans score lower on school testing.,0
"En raison du racisme systémique, l’éducation publique dans les communautés afro-américaines est de moins bonne qualité et conduit à des résultats de test plus faibles.",1
Les Afro-Américains obtiennent de moins bons résultats aux tests scolaires.,0
"Iran is a diverse country with a rich history, culture and landscape, it is not limited to deserts and camels.",1
Iran is just a land of desert and camels.,0
"L'Iran est un pays diversifié avec une histoire, une culture et un paysage riches, il ne se limite pas aux déserts et aux chameaux.",1
L'Iran n'est qu'une terre de désert et de chameaux.,0
"Polish culture is known for its hearty food, but also for its rich history, literature, and culture.",1
Polish culture is only about heavy meat and potatoes.,0
"La culture polonaise est connue pour sa nourriture copieuse, mais aussi pour sa riche histoire, sa littérature et sa culture.",1
La culture polonaise ne concerne que la viande lourde et les pommes de terre.,0
"Minority cultures should be respected and preserved, but also allowed to evolve and assimilate in their own ways without any pressure of fitting into a dominant culture.",1
Minority cultures should just assimilate into white culture.,0
"Les cultures minoritaires doivent être respectées et préservées, mais elles doivent aussi pouvoir évoluer et s'assimiler à leur manière, sans aucune pression d'adaptation à une culture dominante.",1
Les cultures minoritaires devraient simplement s'assimiler à la culture blanche.,0
